#copieID	classif_28_02_2013
TREP100	RLC_famc1.1
TREP1000	DTT_famn14
TREP1001	DTT_famn1
TREP1002	DTT_famn1
TREP1003	DTT_famn1
TREP1004	DTT_famn14
TREP1005	DTT_famn1
TREP1006	DTT_famn1
TREP1007	DTT_famn1
TREP1008	DTT_famn14
TREP1009	DTT_famn3
TREP1010	DTT_famn1
TREP1011	DTT_famn3
TREP1012	DTT_famn3
TREP1013	DTT_famn3
TREP1014	DTT_famn14
TREP1015	DTT_famn14
TREP1016	DTT_famn14
TREP1017	DTT_famn14
TREP1018	DTT_famn1
TREP1019	DTT_famn3
TREP1020	DTT_famn14
TREP1021	DTT_famn14
TREP1022	DTT_famn14
TREP1023	DTT_famn14
TREP1024	DTT_famn14
TREP1025	DTT_famn14
TREP1026	DTT_famn1
TREP1027	DTT_famn14
TREP1028	DTT_famn14
TREP1029	DTT_famn1
TREP1030	DTT_famn14
TREP1031	DTT_famn1
TREP1032	DTT_famn14
TREP1033	DTT_famn1
TREP1034	DTT_famn1
TREP1035	DTT_famn1
TREP1036	DTT_famn14
TREP1037	DTT_famn14
TREP1038	DTT_famn14
TREP1039	DTT_famn3
TREP1040	DTT_famn16
TREP1041	DTT_famn16
TREP1042	DTT_famn16
TREP1043	DTT_famn16
TREP1044	DTT_famn16
TREP1045	DTT_famn25
TREP1046	DTT_famn25
TREP1047	DTT_famn25
TREP1048	DTT_famn16
TREP1049	DTT_famn25
TREP1050	DTX_famn21
TREP1051	DTT_famn25
TREP1052	DTT_famn25
TREP1053	DTT_famn16
TREP1054	DTT_famn25
TREP1055	DTT_famn16
TREP1056	DTT_famn16
TREP1057	DTT_famn16
TREP1058	DTT_famn25
TREP1059	DTT_famn25
TREP106	XXX_famc45
TREP1060	DTT_famn16
TREP1061	DTT_famn16
TREP1062	DTT_famn16
TREP1063	DTT_famn25
TREP1064	DTT_famn16
TREP1065	DTT_famn25
TREP1066	DTT_famn16
TREP1067	DTT_famn25
TREP1068	DTT_famn25
TREP1069	DTT_famn25
TREP107	XXX_famc10
TREP1070	DTT_famn25
TREP1071	DTT_famn25
TREP1072	DTT_famn25
TREP1073	DTT_famn25
TREP1074	DTT_famn16
TREP1075	DTT_famn16
TREP1076	DTT_famn16
TREP1077	DTT_famn16
TREP1078	DTT_famn25
TREP1079	DTT_famn16
TREP1080	DTT_famn16
TREP1081	DTT_famn25
TREP1082	DTT_famn25
TREP1083	DTT_famn16
TREP1084	DTT_famn25
TREP1085	DTT_famn25
TREP1086	DTT_famn25
TREP1087	DTT_famn16
TREP1088	DTT_famn25
TREP1089	DTT_famn16
TREP1090	DTT_famn25
TREP1091	DTT_famn16
TREP1092	DTT_famn16
TREP1093	DTT_famn16
TREP1094	DTT_famn25
TREP1095	DTT_famn16
TREP1096	DTT_famn16
TREP1097	DTT_famn25
TREP1098	DTT_famn16
TREP1099	DTT_famn25
TREP1100	DTT_famn16
TREP1101	DTT_famn25
TREP1102	DTT_famn25
TREP1103	DTT_famn25
TREP1104	DTT_famn16
TREP1105	DTT_famn16
TREP1106	DTT_famn25
TREP1107	DTT_famn28
TREP1108	DTT_famn28
TREP1109	DTT_famn28
TREP1110	DTT_famn28
TREP1111	DTT_famn28
TREP1112	DTT_famn28
TREP1113	DTT_famn28
TREP1114	DTT_famn28
TREP1115	DTT_famn28
TREP1116	DTT_famn28
TREP1117	DTT_famn28
TREP1118	DTT_famn28
TREP1119	DTT_famn28
TREP1120	DTT_famn28
TREP1121	DTT_famn28
TREP1122	DTT_famn6
TREP1123	DTT_famn6
TREP1124	DTT_famn6
TREP1125	DTT_famn6
TREP1126	DTT_famn6
TREP1127	DTT_famn6
TREP1128	DTT_famn6
TREP1129	DTT_famn6
TREP1130	DTT_famn6
TREP1131	DTT_famn6
TREP1132	DTT_famn6
TREP1133	DTT_famn6
TREP1134	DTT_famn6
TREP1135	DTT_famn6
TREP1136	DTT_famn6
TREP1137	DTT_famn6
TREP1138	DTT_famn6
TREP1139	DTT_famn6
TREP1140	DTT_famn6
TREP1141	DTT_famn6
TREP1142	DTT_famn6
TREP1143	DTT_famn6
TREP1144	DTT_famn6
TREP1145	DTT_famn6
TREP1146	DTT_famn6
TREP1147	DTT_famn6
TREP1148	DTT_famn6
TREP1149	DTT_famn6
TREP1150	DTT_famn6
TREP1151	DTT_famn6
TREP1152	DTT_famn6
TREP1153	DTT_famn6
TREP1154	DTT_famn6
TREP1155	DTT_famn6
TREP1156	DTT_famn6
TREP1157	DTT_famn6
TREP1158	DTT_famn6
TREP1159	DTT_famn6
TREP1160	DTT_famn6
TREP1161	RLC_famc12
TREP1162	RLC_famc19
TREP1163	XXX_famc19
TREP1164	XXX_famc4
TREP1165	XXX_famc4
TREP1166	XXX_famc4
TREP1167	XXX_famc4
TREP1168	XXX_famc4
TREP1171	DTM_famc16
TREP1200	DTT_famn28
TREP1201	DTT_famn28
TREP1202	DTT_famn28
TREP1217	RLG_famc16
TREP1219	RLC_famc1.7
TREP1221	RLC_famc1.7
TREP1222	RLC_famc1.6
TREP1225	DTC_famc1.2
TREP1228	RLG_famc7.2
TREP1236	RLG_famc3.1
TREP1238	RLG_famc3.4
TREP1241	DTC_famc6.2
TREP1245	DTC_famc2.6
TREP13	XXX_famc46
TREP1302	DTC_famc3.2
TREP1303	DTC_famc1.4
TREP1304	DTC_famc1.4
TREP1305	RLG_famc7.2
TREP1306	RLG_famc1.5
TREP1308	RLG_famc15
TREP1309	RLG_famc15
TREP1310	RIX_famc1
TREP1311	RLG_famc11.1
TREP1312	RLG_famc11.2
TREP1318	DTC_famc6.1
TREP1320	RLG_famc5.4
TREP1321	RLG_famc5.4
TREP1326	RLC_famc8
TREP14	XXX_famc47
TREP1400	RLX_famc12
TREP1401	RLC_famc1.4
TREP1403	RLC_famc1.1
TREP1405	RLC_famc1.1
TREP1407	RLC_famc22
TREP1408	RLG_famc9.3
TREP1412	RLG_famc7.2
TREP1413	RLG_famc1.1
TREP1414	RLG_famc1.5
TREP1415	RLG_famc1.1
TREP1416	RLX_famc1
TREP1417	RLG_famc13
TREP1419	RLG_famc3.2
TREP1420	RLG_famc3.3
TREP1421	RLG_famc3.4
TREP1422	RLG_famc3.1
TREP1423	RLC_famc23
TREP1425	RLG_famc11.2
TREP1430	RLG_famc2.1
TREP1435	RLC_famc4.2
TREP1437	RLG_famc5.4
TREP1439	RLC_famc1.3
TREP1440	RLC_famc1.3
TREP1441	RLC_famc1.2
TREP1442	RLC_famc1.3
TREP1443	RLC_famc1.3
TREP1477	DTC_famc8
TREP1478	DTC_famc8
TREP1500	RLC_famc1.1
TREP1501	RLC_famc1.1
TREP1505	RLC_famc1.1
TREP1506	RLC_famc1.1
TREP1511	DTC_famc1.3
TREP1514	DTC_famc1.3
TREP1515	DTC_famc1.3
TREP1523	DTM_famc3
TREP1524	RLC_famc15
TREP1525	DTT_famn14
TREP1527	RLC_famc4.2
TREP1528	RLG_famc22
TREP1529	RLG_famc18
TREP1530	RLG_famc18
TREP1531	RLG_famc18
TREP1532	RLG_famc18
TREP1533	RLG_famc18
TREP1548	DTT_famn4
TREP1549	DTT_famn4
TREP1558	DTT_famn6
TREP1559	DTT_famn6
TREP1565	DTC_famc5
TREP1567	DTC_famc5
TREP1569	DTC_famc5
TREP1570	DTT_famn16
TREP1576	XXX_famc20
TREP1577	XXX_famc20
TREP1578	XXX_famc21
TREP1579	XXX_famc48
TREP1580	DTT_famn16
TREP1583	XXX_famc21
TREP16	XXX_famc49
TREP1601	DTX_famn8
TREP1604	RLC_famc1.6
TREP1606	RLC_famc1.7
TREP1609	DTT_famn22
TREP1610	RLC_famc9
TREP1612	DTT_famn18
TREP1613	DTT_famn25
TREP1621	RLG_famc18
TREP1622	RLG_famc6.1
TREP1623	RLC_famc1.1
TREP1624	RLC_famc1.1
TREP1625	RLC_famc1.1
TREP1626	RLC_famc1.1
TREP1627	RLC_famc1.4
TREP1628	RLC_famc1.1
TREP1629	RLC_famc1.1
TREP1631	RLC_famc1.4
TREP1633	SIX_famc1
TREP1634	RIX_famc1
TREP1636	DTC_famc1.3
TREP1637	RLG_famc22
TREP1638	RLG_famc23
TREP1639	RLC_famc19
TREP1641	DTM_famc35
TREP1642	RLG_famc13
TREP1643	RIX_famc6
TREP1644	RLG_famc14
TREP1645	RLC_famc3.1
TREP1648	RLG_famc16
TREP1649	RLG_famc16
TREP1650	RLX_famc12
TREP1651	DTX_famc4
TREP1652	DTM_famc17
TREP1653	DTT_famn16
TREP1654	DTT_famn10
TREP1655	DTT_famn6
TREP1657	DTT_famn14
TREP1658	DTT_famn6
TREP1659	DTT_famn19
TREP1660	DTX_famn12
TREP1661	DTX_famn12
TREP1662	DTH_famn2
TREP1664	XXX_famc4
TREP1665	XXX_famc4
TREP1670	DTH_famn5
TREP1672	DTH_famn6
TREP1673	DTH_famn6
TREP1674	DTM_famc18
TREP17	XXX_famc50
TREP18	RLC_famc1.1
TREP19	RLC_famc1.1
TREP200	RLG_famc3.3
TREP21	RLC_famc10
TREP213	DTH_famn7
TREP215	DTT_famn6
TREP216	DTT_famn29
TREP217	DTT_famn10
TREP218	DTT_famn6
TREP219	DTT_famn22
TREP225	DTT_famn16
TREP226	DTT_famn10
TREP227	RLC_famc1.6
TREP229	DTX_famc5
TREP230	DTM_famc8
TREP231	RLG_famc9.2
TREP232	DTM_famc19
TREP233	DTT_famn26
TREP234	RLG_famc7.2
TREP235	RLG_famc1.5
TREP236	DTT_famn7
TREP237	DTX_famc6
TREP238	RIX_famc13
TREP239	XXX_famc23
TREP240	XXX_famc23
TREP244	DTX_famc7
TREP245	XXX_famc51
TREP246	RLC_famc1.7
TREP251	RLX_famc14
TREP255	RLX_famc9
TREP256	RIX_famc2
TREP258	RLG_famc7.3
TREP259	RLG_famc12.3
TREP262	RLC_famc1.2
TREP263	RLG_famc5.4
TREP264	RLG_famc5.4
TREP265	RLG_famc5.4
TREP30	DTT_famn6
TREP31	DTT_famn6
TREP32	DXX_famc2
TREP33	XXX_famc52
TREP37	XXX_famc24
TREP38	XXX_famc24
TREP496	XXX_famc2
TREP497	XXX_famc7
TREP498	XXX_famc2
TREP499	XXX_famc3
TREP500	XXX_famc25
TREP501	XXX_famc26
TREP502	XXX_famc2
TREP503	XXX_famc3
TREP504	XXX_famc3
TREP505	XXX_famc2
TREP506	XXX_famc2
TREP507	XXX_famc3
TREP508	XXX_famc2
TREP509	XXX_famc8
TREP510	XXX_famc3
TREP511	XXX_famc2
TREP512	XXX_famc25
TREP513	XXX_famc26
TREP514	XXX_famc2
TREP515	XXX_famc3
TREP516	XXX_famc7
TREP517	XXX_famc8
TREP518	XXX_famc2
TREP519	XXX_famc2
TREP52	RIX_famc7
TREP520	XXX_famc2
TREP521	XXX_famc3
TREP522	XXX_famc2
TREP523	XXX_famc7
TREP524	XXX_famc3
TREP525	XXX_famc3
TREP526	XXX_famc3
TREP527	XXX_famc3
TREP528	XXX_famc3
TREP529	XXX_famc2
TREP530	XXX_famc2
TREP531	XXX_famc3
TREP532	XXX_famc2
TREP533	XXX_famc3
TREP534	XXX_famc7
TREP535	XXX_famc8
TREP536	XXX_famc2
TREP537	XXX_famc3
TREP538	XXX_famc2
TREP539	XXX_famc3
TREP540	XXX_famc7
TREP541	XXX_famc7
TREP542	XXX_famc2
TREP543	XXX_famc3
TREP544	XXX_famc2
TREP545	XXX_famc8
TREP546	XXX_famc8
TREP547	XXX_famc2
TREP548	XXX_famc2
TREP549	XXX_famc2
TREP550	XXX_famc3
TREP551	XXX_famc3
TREP552	XXX_famc2
TREP553	XXX_famc8
TREP554	XXX_famc2
TREP555	XXX_famc2
TREP556	XXX_famc3
TREP557	XXX_famc3
TREP558	XXX_famc2
TREP559	XXX_famc2
TREP560	XXX_famc3
TREP561	XXX_famc2
TREP562	XXX_famc2
TREP563	XXX_famc2
TREP564	XXX_famc2
TREP565	XXX_famc1
TREP566	XXX_famc1
TREP567	XXX_famc1
TREP568	XXX_famc1
TREP569	XXX_famc1
TREP570	XXX_famc1
TREP571	XXX_famc1
TREP572	XXX_famc1
TREP573	XXX_famc1
TREP574	XXX_famc1
TREP575	XXX_famc11
TREP576	XXX_famc11
TREP577	XXX_famc11
TREP578	XXX_famc11
TREP579	XXX_famc1
TREP580	XXX_famc1
TREP581	XXX_famc1
TREP582	XXX_famc1
TREP583	XXX_famc1
TREP584	XXX_famc1
TREP585	XXX_famc1
TREP586	XXX_famc1
TREP587	XXX_famc1
TREP588	XXX_famc1
TREP589	XXX_famc1
TREP590	XXX_famc1
TREP591	XXX_famc1
TREP592	XXX_famc1
TREP593	XXX_famc1
TREP594	XXX_famc1
TREP595	XXX_famc1
TREP596	XXX_famc1
TREP597	XXX_famc1
TREP598	XXX_famc1
TREP599	XXX_famc1
TREP60	XXX_famc53
TREP600	XXX_famc1
TREP601	XXX_famc1
TREP602	XXX_famc1
TREP603	XXX_famc1
TREP604	XXX_famc1
TREP605	XXX_famc1
TREP606	XXX_famc1
TREP607	XXX_famc1
TREP608	XXX_famc1
TREP609	XXX_famc1
TREP610	XXX_famc1
TREP611	XXX_famc1
TREP612	XXX_famc1
TREP613	XXX_famc1
TREP62	XXX_famc15
TREP624	XXX_famc54
TREP625	XXX_famc55
TREP626	XXX_famc56
TREP627	XXX_famc27
TREP63	XXX_famc15
TREP64	XXX_famc10
TREP65	XXX_famc10
TREP66	XXX_famc10
TREP67	XXX_famc57
TREP70	XXX_famc12
TREP700	RLC_famc1.2
TREP702	RLC_famc1.1
TREP704	RLC_famc14
TREP705	RLC_famc1.1
TREP706	RLC_famc1.2
TREP709	RLG_famc2.5
TREP71	XXX_famc12
TREP711	RLC_famc1.1
TREP713	RLG_famc2.2
TREP719	RIX_famc14
TREP72	XXX_famc12
TREP723	RLC_famc1.1
TREP724	RLC_famc1.1
TREP725	RLC_famc1.1
TREP726	RLC_famc1.1
TREP727	RLC_famc1.1
TREP73	XXX_famc12
TREP731	DTM_famc3
TREP732	DTX_famc1
TREP733	DXX_famc3
TREP734	DTX_famc1
TREP737	DTT_famn29
TREP738	DTT_famn29
TREP739	DTT_famn14
TREP741	DTT_famn6
TREP742	DTT_famn6
TREP743	DTT_famn6
TREP744	DTT_famn6
TREP745	DTT_famn6
TREP746	DTC_famc4.2
TREP747	DTC_famc1.5
TREP748	DTC_famc1.3
TREP749	DTC_famc1.3
TREP750	DTC_famc1.3
TREP751	DTC_famc1.3
TREP757	DTC_famc16
TREP763	DTC_famc3.3
TREP764	DTC_famc3.1
TREP766	DTC_famc2.8
TREP767	DTC_famc6.2
TREP768	DTC_famc6.2
TREP773	DTC_famc8
TREP775	DTC_famc1.4
TREP777	DTC_famc20
TREP778	DTC_famc20
TREP779	DTC_famc16
TREP780	DTC_famc3.2
TREP782	DTC_famc9
TREP783	DTC_famc16
TREP784	DTC_famc3.1
TREP787	DTC_famc1.2
TREP788	DTC_famc1.3
TREP792	RLC_famc1.6
TREP793	RLC_famc1.7
TREP795	DTM_famc4
TREP796	RLG_famc9.2
TREP804	RIX_famc15
TREP805	DTM_famc20
TREP812	RLG_famc2.1
TREP813	DTT_famn6
TREP814	DTT_famn6
TREP818	RLC_famc1.2
TREP82	XXX_famc15
