#sequenceID	family	LTRtype	start	end
ctgE_rep_0026	RLC_famc1	LTR5	43	1723
ctgE_rep_0026	RLC_famc1	LTR3	6889	8573
rph7_rep_0192	RLG_famc1	LTR5	5	480
rph7_rep_0192	RLG_famc1	LTR3	7269	7744
ctgF_rep_0083	RLG_famc1	LTR5	1	472
ctgF_rep_0083	RLG_famc1	LTR3	9354	9825
ctgD_rep_0239	RLG_famc17	LTR5	1	258
ctgD_rep_0239	RLG_famc17	LTR3	5003	5261
ctgK_rep_0049	RLG_famc8	LTR5	1	980
ctgK_rep_0049	RLG_famc8	LTR3	3771	4749
ctgF_rep_0108	RLG_famc17	LTR5	1	641
ctgF_rep_0108	RLG_famc17	LTR3	3198	3312
ctgD_rep_0122	RLG_famc11	LTR5	1	2866
ctgD_rep_0122	RLG_famc11	LTR3	8296	11156
rph7_rep_0415	RLC_famc8	LTR5	3	140
rph7_rep_0415	RLC_famc8	LTR3	4448	4585
ctgL_rep_0087	RLG_famc3	LTR5	1	3884
ctgL_rep_0087	RLG_famc3	LTR3	11957	12079
ctgA_rep_0428	RLG_famc1	LTR5	1	523
ctgA_rep_0428	RLG_famc1	LTR3	8019	8541
ctgF_rep_0385	RLX_famc1	LTR5	1	481
ctgF_rep_0385	RLX_famc1	LTR3	5141	5621
TREP263	RLG_famc5	LTR5	3	1395
TREP263	RLG_famc5	LTR3	8141	9563
ctgH_rep_0307	RLG_famc3	LTR5	1	3945
ctgH_rep_0307	RLG_famc3	LTR3	7931	12091
sr2_rep_0226	RLC_famc9	LTR5	1	214
sr2_rep_0226	RLC_famc9	LTR3	4972	5185
rph7_rep_0442	RLX_famc9	LTR5	1	375
rph7_rep_0442	RLX_famc9	LTR3	2232	2607
ctgA_rep_0068	RLG_famc6	LTR5	1	1521
ctgA_rep_0068	RLG_famc6	LTR3	7941	9443
rph7_rep_0356	RLG_famc13	LTR5	1	3861
rph7_rep_0356	RLG_famc13	LTR3	8077	11941
TREP3151	RLC_famc3	LTR5	1	1497
TREP3151	RLC_famc3	LTR3	13273	14779
ctgD_rep_0214	RLG_famc4	LTR5	3	910
